,Power (kW)
0,0.3206125113179196
1,0.25197335051217423
2,0.215173691028727
3,0.1887180267064289
4,0.18315469554527974
5,0.17742686338413072
6,0.1723720303841307
7,0.15164419822298159
8,0.14694030122298157
9,0.15766813338413072
10,0.19337403154527974
11,0.2248296958675779
12,0.3046832519956215
13,0.38550590928481415
14,0.5343772243797522
15,0.6523833781523921
16,0.6416755649912429
17,0.5880364041854975
18,0.5346574863797522
19,0.513201822057454
20,0.5025540648963048
21,0.49182623273515585
22,0.4811084095740067
23,0.4811084095740067
24,0.5026141208963049
25,0.5026141208963049
26,0.4811584565740067
27,0.4597027922517086
28,0.44899497909055947
29,0.4704506434128577
30,0.4810783815740067
31,0.5454453745409014
32,0.5836661483135411
33,0.7238557985696283
34,0.850193784342268
35,0.8573772808257154
36,0.8357541978257155
37,0.8200263656645663
38,0.7922116701811193
39,0.7643003415365228
40,0.7255774718919266
41,0.7091218075696284
42,0.6924922624084792
43,0.6238531016027337
44,0.6109353107969884
45,0.5939095955077958
46,0.4730350208963049
47,0.40721236360711227
48,0.38497950428481414
49,0.29488467915677047
50,0.24735718751217425
51,0.210173691028727
52,0.1938825277064289
53,0.18815469554527975
54,0.1723720303841307
55,0.1623720303841307
56,0.15766813338413072
57,0.15766813338413072
58,0.19337403154527974
59,0.21410186370642892
60,0.26177192335102517
61,0.3104110841567705
62,0.39491540628481414
63,0.4700102314128577
64,0.5236694112186031
65,0.5773085720243485
66,0.5882966471854976
67,0.5882966471854976
68,0.5883767221854975
69,0.5883767221854975
70,0.5776588990243485
71,0.5776588990243485
72,0.6098924425077957
73,0.6098924425077957
74,0.5991646103466466
75,0.5562532817020504
76,0.5348176363797522
77,0.5455454685409014
78,0.5454453745409014
79,0.5776288710243486
80,0.5729383161523921
81,0.6702166377638828
82,0.7858267913753736
83,0.825193784342268
84,0.8035707013422679
85,0.8092985335034173
86,0.8029395023422681
87,0.7643003415365228
88,0.7255774718919266
89,0.6662104789250318
90,0.6495809337638828
91,0.5916696051192865
92,0.5787518143135411
93,0.5939095955077958
94,0.5052185173797522
95,0.4608515244128577
96,0.40643516860711226
97,0.31634034347906864
98,0.26881285183447234
99,0.23162935535102516
100,0.215338192028727
101,0.1988825277064289
102,0.18309986254527974
103,0.1623720303841307
104,0.15766813338413072
105,0.15766813338413072
106,0.1826461993841307
107,0.20337403154527972
108,0.2295884268675779
109,0.25677192335102517
110,0.3090927489956215
111,0.38418757412366505
112,0.4485745860905595
113,0.5451250755409013
114,0.5990244793466466
115,0.641935807991243
116,0.7063828759581374
117,0.7278385402804355
118,0.7600320457638828
119,0.7707598779250319
120,0.8029934214084792
121,0.8029934214084792
122,0.7708099249250319
123,0.7064429319581375
124,0.6528237901523921
125,0.6528237901523921
126,0.6634515283135412
127,0.6741793604746903
128,0.6694888056027337
129,0.7345836307307774
130,0.8180102878588208
131,0.8359216165034172
132,0.8357541978257155
133,0.8092985335034173
134,0.7922116701811193
135,0.7750281736976717
136,0.7470331362142246
137,0.7091218075696284
138,0.6924922624084792
139,0.6238531016027337
140,0.6109353107969884
141,0.6046374276689448
142,0.48376285305745403
143,0.4179401957682614
144,0.3206125113179196
145,0.25197335051217423
146,0.215173691028727
147,0.1887180267064289
148,0.18315469554527974
149,0.17742686338413072
150,0.1723720303841307
151,0.15164419822298159
152,0.14694030122298157
153,0.15766813338413072
154,0.19337403154527974
155,0.2248296958675779
156,0.3046832519956215
157,0.38550590928481415
158,0.5343772243797522
159,0.6523833781523921
160,0.6416755649912429
161,0.5880364041854975
162,0.5346574863797522
163,0.513201822057454
164,0.5025540648963048
165,0.49182623273515585
166,0.4811084095740067
167,0.4811084095740067
168,0.5026141208963049
169,0.5026141208963049
170,0.4811584565740067
171,0.4597027922517086
172,0.44899497909055947
173,0.4704506434128577
174,0.4810783815740067
175,0.5454453745409014
176,0.5836661483135411
177,0.7238557985696283
178,0.850193784342268
179,0.8573772808257154
180,0.8357541978257155
181,0.8200263656645663
182,0.7922116701811193
183,0.7643003415365228
184,0.7255774718919266
185,0.7091218075696284
186,0.6924922624084792
187,0.6238531016027337
188,0.6109353107969884
189,0.5939095955077958
190,0.4730350208963049
191,0.40721236360711227
192,0.3206125113179196
193,0.25197335051217423
194,0.215173691028727
195,0.1887180267064289
196,0.18315469554527974
197,0.17742686338413072
198,0.1723720303841307
199,0.15164419822298159
200,0.14694030122298157
201,0.15766813338413072
202,0.19337403154527974
203,0.2248296958675779
204,0.3046832519956215
205,0.38550590928481415
206,0.5343772243797522
207,0.6523833781523921
208,0.6416755649912429
209,0.5880364041854975
210,0.5346574863797522
211,0.513201822057454
212,0.5025540648963048
213,0.49182623273515585
214,0.4811084095740067
215,0.4811084095740067
216,0.5026141208963049
217,0.5026141208963049
218,0.4811584565740067
219,0.4597027922517086
220,0.44899497909055947
221,0.4704506434128577
222,0.4810783815740067
223,0.5454453745409014
224,0.5836661483135411
225,0.7238557985696283
226,0.850193784342268
227,0.8573772808257154
228,0.8357541978257155
229,0.8200263656645663
230,0.7922116701811193
231,0.7643003415365228
232,0.7255774718919266
233,0.7091218075696284
234,0.6924922624084792
235,0.6238531016027337
236,0.6109353107969884
237,0.5939095955077958
238,0.4730350208963049
239,0.40721236360711227
240,0.3206125113179196
241,0.25197335051217423
242,0.215173691028727
243,0.1887180267064289
244,0.18315469554527974
245,0.17742686338413072
246,0.1723720303841307
247,0.15164419822298159
248,0.14694030122298157
249,0.15766813338413072
250,0.19337403154527974
251,0.2248296958675779
252,0.3046832519956215
253,0.38550590928481415
254,0.5343772243797522
255,0.6523833781523921
256,0.6416755649912429
257,0.5880364041854975
258,0.5346574863797522
259,0.513201822057454
260,0.5025540648963048
261,0.49182623273515585
262,0.4811084095740067
263,0.4811084095740067
264,0.5026141208963049
265,0.5026141208963049
266,0.4811584565740067
267,0.4597027922517086
268,0.44899497909055947
269,0.4704506434128577
270,0.4810783815740067
271,0.5454453745409014
272,0.5836661483135411
273,0.7238557985696283
274,0.850193784342268
275,0.8573772808257154
276,0.8357541978257155
277,0.8200263656645663
