,Power (kW)
0,1.6655416056190282
1,1.8320957661809312
2,1.8558892176897746
3,1.808302314672088
4,1.808302314672088
5,1.7845088631632446
6,1.7845088631632446
7,1.7845088631632446
8,1.8320957661809312
9,1.8796826691986177
10,1.903476120707461
11,2.070030281269364
12,2.3079647963577963
13,2.7838338265346616
14,3.378670114255743
15,4.259027820082944
16,5.520080750051636
17,6.852514034546859
18,8.375294931112828
19,9.017718121851596
20,9.184272282413499
21,9.279446088448871
22,9.327032991466558
23,9.374619894484246
24,9.25565263694003
25,8.922544315816223
26,8.494262188657045
27,8.422881834130514
28,8.422881834130514
29,8.375294931112828
30,8.232534222059769
31,8.042186609989022
32,7.80425209490059
33,7.399763419250254
34,6.424231907387681
35,4.972831365348242
36,3.925919498959138
37,3.5214308233088025
38,3.3310832112380564
39,3.1169421476584676
40,2.9503879870965646
41,2.736246923516975
42,2.522105859937386
43,2.3317582478666394
44,2.165204087304737
45,2.093823732778207
46,1.9748564752339905
47,1.8558892176897746
48,1.6655416056190282
49,1.8320957661809312
50,1.8558892176897746
51,1.808302314672088
52,1.808302314672088
53,1.7845088631632446
54,1.7845088631632446
55,1.7845088631632446
56,1.8320957661809312
57,1.8796826691986177
58,1.903476120707461
59,2.070030281269364
60,2.3079647963577963
61,2.7838338265346616
62,3.378670114255743
63,4.259027820082944
64,5.520080750051636
65,6.852514034546859
66,8.375294931112828
67,9.017718121851596
68,9.184272282413499
69,9.279446088448871
70,9.327032991466558
71,9.374619894484246
72,9.25565263694003
73,8.922544315816223
74,8.494262188657045
75,8.422881834130514
76,8.422881834130514
77,8.375294931112828
78,8.232534222059769
79,8.042186609989022
80,7.80425209490059
81,7.399763419250254
82,6.424231907387681
83,4.972831365348242
84,3.925919498959138
85,3.5214308233088025
86,3.3310832112380564
87,3.1169421476584676
88,2.9503879870965646
89,2.736246923516975
90,2.522105859937386
91,2.3317582478666394
92,2.165204087304737
93,2.093823732778207
94,1.9748564752339905
95,1.8558892176897746
96,1.6655416056190282
97,1.8320957661809312
98,1.8558892176897746
99,1.808302314672088
100,1.808302314672088
101,1.7845088631632446
102,1.7845088631632446
103,1.7845088631632446
104,1.8320957661809312
105,1.8796826691986177
106,1.903476120707461
107,2.070030281269364
108,2.3079647963577963
109,2.7838338265346616
110,3.378670114255743
111,4.259027820082944
112,5.520080750051636
113,6.852514034546859
114,8.375294931112828
115,9.017718121851596
116,9.184272282413499
117,9.279446088448871
118,9.327032991466558
119,9.374619894484246
120,9.25565263694003
121,8.922544315816223
122,8.494262188657045
123,8.422881834130514
124,8.422881834130514
125,8.375294931112828
126,8.232534222059769
127,8.042186609989022
128,7.80425209490059
129,7.399763419250254
130,6.424231907387681
131,4.972831365348242
132,3.925919498959138
133,3.5214308233088025
134,3.3310832112380564
135,3.1169421476584676
136,2.9503879870965646
137,2.736246923516975
138,2.522105859937386
139,2.3317582478666394
140,2.165204087304737
141,2.093823732778207
142,1.9748564752339905
143,1.8558892176897746
144,1.6655416056190282
145,1.8320957661809312
146,1.8558892176897746
147,1.808302314672088
148,1.808302314672088
149,1.7845088631632446
150,1.7845088631632446
151,1.7845088631632446
152,1.8320957661809312
153,1.8796826691986177
154,1.903476120707461
155,2.070030281269364
156,2.3079647963577963
157,2.7838338265346616
158,3.378670114255743
159,4.259027820082944
160,5.520080750051636
161,6.852514034546859
162,8.375294931112828
163,9.017718121851596
164,9.184272282413499
165,9.279446088448871
166,9.327032991466558
167,9.374619894484246
168,9.25565263694003
169,8.922544315816223
170,8.494262188657045
171,8.422881834130514
172,8.422881834130514
173,8.375294931112828
174,8.232534222059769
175,8.042186609989022
176,7.80425209490059
177,7.399763419250254
178,6.424231907387681
179,4.972831365348242
180,3.925919498959138
181,3.5214308233088025
182,3.3310832112380564
183,3.1169421476584676
184,2.9503879870965646
185,2.736246923516975
186,2.522105859937386
187,2.3317582478666394
188,2.165204087304737
189,2.093823732778207
190,1.9748564752339905
191,1.8558892176897746
192,1.6655416056190282
193,1.8320957661809312
194,1.8558892176897746
195,1.808302314672088
196,1.808302314672088
197,1.7845088631632446
198,1.7845088631632446
199,1.7845088631632446
200,1.8320957661809312
201,1.8796826691986177
202,1.903476120707461
203,2.070030281269364
204,2.3079647963577963
205,2.7838338265346616
206,3.378670114255743
207,4.259027820082944
208,5.520080750051636
209,6.852514034546859
210,8.375294931112828
211,9.017718121851596
212,9.184272282413499
213,9.279446088448871
214,9.327032991466558
