Datetime,kW
1/1/14 00:00,0
1/1/14 01:00,0
1/1/14 02:00,0
1/1/14 03:00,0
1/1/14 04:00,0
1/1/14 05:00,0
1/1/14 06:00,0
1/1/14 07:00,0
1/1/14 08:00,0
1/1/14 09:00,0.005
1/1/14 10:00,0.012
1/1/14 11:00,0.015
1/1/14 12:00,0.011
1/1/14 13:00,0.006
1/1/14 14:00,0.001
1/1/14 15:00,0
1/1/14 16:00,0
1/1/14 17:00,0
1/1/14 18:00,0
1/1/14 19:00,0
1/1/14 20:00,0
1/1/14 21:00,0
1/1/14 22:00,0
1/1/14 23:00,0
2/1/14 00:00,0
2/1/14 01:00,0
2/1/14 02:00,0
2/1/14 03:00,0
2/1/14 04:00,0
2/1/14 05:00,0
2/1/14 06:00,0
2/1/14 07:00,0
2/1/14 08:00,0.002
2/1/14 09:00,0.054
2/1/14 10:00,0.213
2/1/14 11:00,0.363
2/1/14 12:00,0.374
2/1/14 13:00,0.262
2/1/14 14:00,0.095
2/1/14 15:00,0.028
2/1/14 16:00,0
2/1/14 17:00,0
2/1/14 18:00,0
2/1/14 19:00,0
2/1/14 20:00,0
2/1/14 21:00,0
2/1/14 22:00,0
2/1/14 23:00,0
3/1/14 00:00,0
3/1/14 01:00,0
3/1/14 02:00,0
3/1/14 03:00,0
3/1/14 04:00,0
3/1/14 05:00,0
3/1/14 06:00,0
3/1/14 07:00,0
3/1/14 08:00,0.005
3/1/14 09:00,0.041
3/1/14 10:00,0.082
3/1/14 11:00,0.102
3/1/14 12:00,0.108
3/1/14 13:00,0.085
3/1/14 14:00,0.039
3/1/14 15:00,0.005
3/1/14 16:00,0
3/1/14 17:00,0
3/1/14 18:00,0
3/1/14 19:00,0
3/1/14 20:00,0
3/1/14 21:00,0
3/1/14 22:00,0
3/1/14 23:00,0
4/1/14 00:00,0
4/1/14 01:00,0
4/1/14 02:00,0
4/1/14 03:00,0
4/1/14 04:00,0
4/1/14 05:00,0
4/1/14 06:00,0
4/1/14 07:00,0
4/1/14 08:00,0
4/1/14 09:00,0.013
4/1/14 10:00,0.032
4/1/14 11:00,0.088
4/1/14 12:00,0.21
4/1/14 13:00,0.105
4/1/14 14:00,0.021
4/1/14 15:00,0.001
4/1/14 16:00,0
4/1/14 17:00,0
4/1/14 18:00,0
4/1/14 19:00,0
4/1/14 20:00,0
4/1/14 21:00,0
4/1/14 22:00,0
4/1/14 23:00,0
5/1/14 00:00,0
5/1/14 01:00,0
5/1/14 02:00,0
5/1/14 03:00,0
5/1/14 04:00,0
5/1/14 05:00,0
5/1/14 06:00,0
5/1/14 07:00,0
5/1/14 08:00,0.005
5/1/14 09:00,0.037
5/1/14 10:00,0.059
5/1/14 11:00,0.051
5/1/14 12:00,0.106
5/1/14 13:00,0.126
5/1/14 14:00,0.032
5/1/14 15:00,0
5/1/14 16:00,0
5/1/14 17:00,0
5/1/14 18:00,0
5/1/14 19:00,0
5/1/14 20:00,0
5/1/14 21:00,0
5/1/14 22:00,0
5/1/14 23:00,0
6/1/14 00:00,0
6/1/14 01:00,0
6/1/14 02:00,0
6/1/14 03:00,0
6/1/14 04:00,0
6/1/14 05:00,0
6/1/14 06:00,0
6/1/14 07:00,0
6/1/14 08:00,0.025
6/1/14 09:00,0.185
6/1/14 10:00,0.31
6/1/14 11:00,0.359
6/1/14 12:00,0.343
6/1/14 13:00,0.269
6/1/14 14:00,0.146
6/1/14 15:00,0.024
6/1/14 16:00,0
6/1/14 17:00,0
6/1/14 18:00,0
6/1/14 19:00,0
6/1/14 20:00,0
6/1/14 21:00,0
6/1/14 22:00,0
6/1/14 23:00,0
7/1/14 00:00,0
7/1/14 01:00,0
7/1/14 02:00,0
7/1/14 03:00,0
7/1/14 04:00,0
7/1/14 05:00,0
7/1/14 06:00,0
7/1/14 07:00,0
7/1/14 08:00,0.004
7/1/14 09:00,0.034
7/1/14 10:00,0.072
7/1/14 11:00,0.119
7/1/14 12:00,0.147
7/1/14 13:00,0.125
7/1/14 14:00,0.097
7/1/14 15:00,0.031
7/1/14 16:00,0
7/1/14 17:00,0
7/1/14 18:00,0
7/1/14 19:00,0
7/1/14 20:00,0
7/1/14 21:00,0
7/1/14 22:00,0
7/1/14 23:00,0
8/1/14 00:00,0
8/1/14 01:00,0
8/1/14 02:00,0
8/1/14 03:00,0
8/1/14 04:00,0
8/1/14 05:00,0
8/1/14 06:00,0
8/1/14 07:00,0
8/1/14 08:00,0.003
8/1/14 09:00,0.038
8/1/14 10:00,0.079
8/1/14 11:00,0.199
8/1/14 12:00,0.301
8/1/14 13:00,0.245
8/1/14 14:00,0.072
8/1/14 15:00,0.004
8/1/14 16:00,0
8/1/14 17:00,0
8/1/14 18:00,0
8/1/14 19:00,0
8/1/14 20:00,0
8/1/14 21:00,0
8/1/14 22:00,0
8/1/14 23:00,0
9/1/14 00:00,0
9/1/14 01:00,0
9/1/14 02:00,0
9/1/14 03:00,0
9/1/14 04:00,0
9/1/14 05:00,0
9/1/14 06:00,0
9/1/14 07:00,0
9/1/14 08:00,0.006
9/1/14 09:00,0.043
9/1/14 10:00,0.105
9/1/14 11:00,0.262
9/1/14 12:00,0.398
9/1/14 13:00,0.293
9/1/14 14:00,0.156
9/1/14 15:00,0.044
9/1/14 16:00,0
9/1/14 17:00,0
9/1/14 18:00,0
9/1/14 19:00,0
9/1/14 20:00,0
9/1/14 21:00,0
9/1/14 22:00,0
9/1/14 23:00,0
10/1/14 00:00,0
10/1/14 01:00,0
10/1/14 02:00,0
10/1/14 03:00,0
10/1/14 04:00,0
10/1/14 05:00,0
10/1/14 06:00,0
10/1/14 07:00,0
10/1/14 08:00,0.001
10/1/14 09:00,0.022
10/1/14 10:00,0.057
10/1/14 11:00,0.091
10/1/14 12:00,0.095
10/1/14 13:00,0.072
10/1/14 14:00,0.041
10/1/14 15:00,0.004
10/1/14 16:00,0
10/1/14 17:00,0
10/1/14 18:00,0
10/1/14 19:00,0
10/1/14 20:00,0
10/1/14 21:00,0
10/1/14 22:00,0
10/1/14 23:00,0
11/1/14 00:00,0
11/1/14 01:00,0
11/1/14 02:00,0
11/1/14 03:00,0
11/1/14 04:00,0
11/1/14 05:00,0
11/1/14 06:00,0
11/1/14 07:00,0
11/1/14 08:00,0.036
11/1/14 09:00,0.225
11/1/14 10:00,0.449
11/1/14 11:00,0.521
11/1/14 12:00,0.516
11/1/14 13:00,0.441
11/1/14 14:00,0.29
11/1/14 15:00,0.081
11/1/14 16:00,0
11/1/14 17:00,0
11/1/14 18:00,0
11/1/14 19:00,0
11/1/14 20:00,0
11/1/14 21:00,0
11/1/14 22:00,0
11/1/14 23:00,0
12/1/14 00:00,0
12/1/14 01:00,0
12/1/14 02:00,0
12/1/14 03:00,0
12/1/14 04:00,0
12/1/14 05:00,0
12/1/14 06:00,0
12/1/14 07:00,0
12/1/14 08:00,0.006
12/1/14 09:00,0.037
12/1/14 10:00,0.055
12/1/14 11:00,0.046
12/1/14 12:00,0.039
12/1/14 13:00,0.035
12/1/14 14:00,0.014
12/1/14 15:00,0
12/1/14 16:00,0
12/1/14 17:00,0
12/1/14 18:00,0
12/1/14 19:00,0
12/1/14 20:00,0
12/1/14 21:00,0
12/1/14 22:00,0
12/1/14 23:00,0
13/1/14 00:00,0
13/1/14 01:00,0
13/1/14 02:00,0
13/1/14 03:00,0
13/1/14 04:00,0
13/1/14 05:00,0
13/1/14 06:00,0
13/1/14 07:00,0
13/1/14 08:00,0.001
13/1/14 09:00,0.023
13/1/14 10:00,0.081
13/1/14 11:00,0.178
13/1/14 12:00,0.262
13/1/14 13:00,0.24
13/1/14 14:00,0.138
13/1/14 15:00,0.023
13/1/14 16:00,0
13/1/14 17:00,0
13/1/14 18:00,0
13/1/14 19:00,0
13/1/14 20:00,0
13/1/14 21:00,0
13/1/14 22:00,0
13/1/14 23:00,0
14/1/14 00:00,0
14/1/14 01:00,0
14/1/14 02:00,0
14/1/14 03:00,0
14/1/14 04:00,0
14/1/14 05:00,0
14/1/14 06:00,0
14/1/14 07:00,0
14/1/14 08:00,0.064
14/1/14 09:00,0.245
14/1/14 10:00,0.371
14/1/14 11:00,0.291
14/1/14 12:00,0.185
14/1/14 13:00,0.246
14/1/14 14:00,0.189
14/1/14 15:00,0.034
14/1/14 16:00,0
14/1/14 17:00,0
14/1/14 18:00,0
14/1/14 19:00,0
14/1/14 20:00,0
14/1/14 21:00,0
14/1/14 22:00,0
14/1/14 23:00,0
15/1/14 00:00,0
15/1/14 01:00,0
15/1/14 02:00,0
15/1/14 03:00,0
15/1/14 04:00,0
15/1/14 05:00,0
15/1/14 06:00,0
15/1/14 07:00,0
15/1/14 08:00,0.001
15/1/14 09:00,0.014
15/1/14 10:00,0.024
15/1/14 11:00,0.039
15/1/14 12:00,0.047
15/1/14 13:00,0.032
15/1/14 14:00,0.014
15/1/14 15:00,0.002
15/1/14 16:00,0
15/1/14 17:00,0
15/1/14 18:00,0
15/1/14 19:00,0
15/1/14 20:00,0
15/1/14 21:00,0
15/1/14 22:00,0
15/1/14 23:00,0
16/1/14 00:00,0
16/1/14 01:00,0
16/1/14 02:00,0
16/1/14 03:00,0
16/1/14 04:00,0
16/1/14 05:00,0
16/1/14 06:00,0
16/1/14 07:00,0
16/1/14 08:00,0.013
16/1/14 09:00,0.05
16/1/14 10:00,0.105
16/1/14 11:00,0.126
16/1/14 12:00,0.096
16/1/14 13:00,0.054
16/1/14 14:00,0.03
16/1/14 15:00,0.01
16/1/14 16:00,0
16/1/14 17:00,0
16/1/14 18:00,0
16/1/14 19:00,0
16/1/14 20:00,0
16/1/14 21:00,0
16/1/14 22:00,0
16/1/14 23:00,0
17/1/14 00:00,0
17/1/14 01:00,0
17/1/14 02:00,0
17/1/14 03:00,0
17/1/14 04:00,0
17/1/14 05:00,0
17/1/14 06:00,0
17/1/14 07:00,0
17/1/14 08:00,0.007
17/1/14 09:00,0.052
17/1/14 10:00,0.108
17/1/14 11:00,0.194
17/1/14 12:00,0.243
17/1/14 13:00,0.203
17/1/14 14:00,0.128
17/1/14 15:00,0.035
17/1/14 16:00,0
17/1/14 17:00,0
17/1/14 18:00,0
17/1/14 19:00,0
17/1/14 20:00,0
17/1/14 21:00,0
17/1/14 22:00,0
17/1/14 23:00,0
18/1/14 00:00,0
18/1/14 01:00,0
18/1/14 02:00,0
18/1/14 03:00,0
18/1/14 04:00,0
18/1/14 05:00,0
18/1/14 06:00,0
18/1/14 07:00,0
18/1/14 08:00,0.003
18/1/14 09:00,0.03
18/1/14 10:00,0.092
18/1/14 11:00,0.127
18/1/14 12:00,0.107
18/1/14 13:00,0.105
18/1/14 14:00,0.101
18/1/14 15:00,0.03
18/1/14 16:00,0
18/1/14 17:00,0
18/1/14 18:00,0
18/1/14 19:00,0
18/1/14 20:00,0
18/1/14 21:00,0
18/1/14 22:00,0
18/1/14 23:00,0
19/1/14 00:00,0
19/1/14 01:00,0
19/1/14 02:00,0
19/1/14 03:00,0
19/1/14 04:00,0
19/1/14 05:00,0
19/1/14 06:00,0
19/1/14 07:00,0
19/1/14 08:00,0.006
19/1/14 09:00,0.039
19/1/14 10:00,0.075
19/1/14 11:00,0.112
19/1/14 12:00,0.195
19/1/14 13:00,0.216
19/1/14 14:00,0.237
19/1/14 15:00,0.072
19/1/14 16:00,0
19/1/14 17:00,0
19/1/14 18:00,0
19/1/14 19:00,0
19/1/14 20:00,0
19/1/14 21:00,0
19/1/14 22:00,0
19/1/14 23:00,0
20/1/14 00:00,0
20/1/14 01:00,0
20/1/14 02:00,0
20/1/14 03:00,0
20/1/14 04:00,0
20/1/14 05:00,0
20/1/14 06:00,0
20/1/14 07:00,0
20/1/14 08:00,0.018
20/1/14 09:00,0.081
20/1/14 10:00,0.136
20/1/14 11:00,0.188
20/1/14 12:00,0.245
20/1/14 13:00,0.225
20/1/14 14:00,0.126
20/1/14 15:00,0.04
20/1/14 16:00,0
20/1/14 17:00,0
20/1/14 18:00,0
20/1/14 19:00,0
20/1/14 20:00,0
20/1/14 21:00,0
20/1/14 22:00,0
20/1/14 23:00,0
21/1/14 00:00,0
21/1/14 01:00,0
21/1/14 02:00,0
21/1/14 03:00,0
21/1/14 04:00,0
21/1/14 05:00,0
21/1/14 06:00,0
21/1/14 07:00,0
21/1/14 08:00,0.011
21/1/14 09:00,0.041
21/1/14 10:00,0.085
21/1/14 11:00,0.163
21/1/14 12:00,0.204
21/1/14 13:00,0.195
21/1/14 14:00,0.14
21/1/14 15:00,0.038
21/1/14 16:00,0
21/1/14 17:00,0
21/1/14 18:00,0
21/1/14 19:00,0
21/1/14 20:00,0
21/1/14 21:00,0
21/1/14 22:00,0
21/1/14 23:00,0
22/1/14 00:00,0
22/1/14 01:00,0
22/1/14 02:00,0
22/1/14 03:00,0
22/1/14 04:00,0
22/1/14 05:00,0
22/1/14 06:00,0
22/1/14 07:00,0
22/1/14 08:00,0.007
22/1/14 09:00,0.033
22/1/14 10:00,0.06
22/1/14 11:00,0.078
22/1/14 12:00,0.081
22/1/14 13:00,0.061
22/1/14 14:00,0.034
22/1/14 15:00,0.008
22/1/14 16:00,0
22/1/14 17:00,0
22/1/14 18:00,0
22/1/14 19:00,0
22/1/14 20:00,0
22/1/14 21:00,0
22/1/14 22:00,0
22/1/14 23:00,0
23/1/14 00:00,0
23/1/14 01:00,0
23/1/14 02:00,0
23/1/14 03:00,0
23/1/14 04:00,0
23/1/14 05:00,0
23/1/14 06:00,0
23/1/14 07:00,0
23/1/14 08:00,0.003
23/1/14 09:00,0.032
23/1/14 10:00,0.134
23/1/14 11:00,0.318
23/1/14 12:00,0.253
23/1/14 13:00,0.202
23/1/14 14:00,0.16
23/1/14 15:00,0.06
23/1/14 16:00,0
23/1/14 17:00,0
23/1/14 18:00,0
23/1/14 19:00,0
23/1/14 20:00,0
23/1/14 21:00,0
23/1/14 22:00,0
23/1/14 23:00,0
24/1/14 00:00,0
24/1/14 01:00,0
24/1/14 02:00,0
24/1/14 03:00,0
24/1/14 04:00,0
24/1/14 05:00,0
24/1/14 06:00,0
24/1/14 07:00,0
24/1/14 08:00,0.016
24/1/14 09:00,0.08
24/1/14 10:00,0.15
24/1/14 11:00,0.091
