Date,EPV
20160101:0056,0
20160101:0156,0
20160101:0256,0
20160101:0356,0
20160101:0456,0
20160101:0556,0
20160101:0656,0
20160101:0756,0
20160101:0856,20.32
20160101:0956,50.62
20160101:1056,53.78
20160101:1156,64.17
20160101:1256,34.98
20160101:1356,4.19
20160101:1456,9.32
20160101:1556,0
20160101:1656,0
20160101:1756,0
20160101:1856,0
20160101:1956,0
20160101:2056,0
20160101:2156,0
20160101:2256,0
20160101:2356,0
20160102:0056,0
20160102:0156,0
20160102:0256,0
20160102:0356,0
20160102:0456,0
20160102:0556,0
20160102:0656,0
20160102:0756,0
20160102:0856,111.14
20160102:0956,62.76
20160102:1056,56.14
20160102:1156,80.52
20160102:1256,16.85
20160102:1356,11.35
20160102:1456,0.49
20160102:1556,0
20160102:1656,0
20160102:1756,0
20160102:1856,0
20160102:1956,0
20160102:2056,0
20160102:2156,0
20160102:2256,0
20160102:2356,0
20160103:0056,0
20160103:0156,0
20160103:0256,0
20160103:0356,0
20160103:0456,0
20160103:0556,0
20160103:0656,0
20160103:0756,0
20160103:0856,6.64
20160103:0956,0
20160103:1056,4.02
20160103:1156,21.23
20160103:1256,9.37
20160103:1356,10.93
20160103:1456,0
20160103:1556,0
20160103:1656,0
20160103:1756,0
20160103:1856,0
20160103:1956,0
20160103:2056,0
20160103:2156,0
20160103:2256,0
20160103:2356,0
20160104:0056,0
20160104:0156,0
20160104:0256,0
20160104:0356,0
20160104:0456,0
20160104:0556,0
20160104:0656,0
20160104:0756,0
20160104:0856,212.97
20160104:0956,161.67
20160104:1056,99.2
20160104:1156,503.84
20160104:1256,273.03
20160104:1356,73.27
20160104:1456,4.35
20160104:1556,0
20160104:1656,0
20160104:1756,0
20160104:1856,0
20160104:1956,0
20160104:2056,0
20160104:2156,0
20160104:2256,0
20160104:2356,0
20160105:0056,0
20160105:0156,0
20160105:0256,0
20160105:0356,0
20160105:0456,0
20160105:0556,0
20160105:0656,0
20160105:0756,0
20160105:0856,122.76
20160105:0956,76.64
20160105:1056,85.68
20160105:1156,108.48
20160105:1256,215.67
20160105:1356,30.86
20160105:1456,10.35
20160105:1556,0
20160105:1656,0
20160105:1756,0
20160105:1856,0
20160105:1956,0
20160105:2056,0
20160105:2156,0
20160105:2256,0
20160105:2356,0
20160106:0056,0
20160106:0156,0
20160106:0256,0
20160106:0356,0
20160106:0456,0
20160106:0556,0
20160106:0656,0
20160106:0756,0
20160106:0856,126.87
20160106:0956,21.99
20160106:1056,34.54
20160106:1156,169.68
20160106:1256,99.08
20160106:1356,55.9
20160106:1456,197.4
20160106:1556,0
20160106:1656,0
20160106:1756,0
20160106:1856,0
20160106:1956,0
20160106:2056,0
20160106:2156,0
20160106:2256,0
20160106:2356,0
20160107:0056,0
20160107:0156,0
20160107:0256,0
20160107:0356,0
20160107:0456,0
20160107:0556,0
20160107:0656,0
20160107:0756,0
20160107:0856,42.85
20160107:0956,220.69
20160107:1056,66.52
20160107:1156,214.41
20160107:1256,406
20160107:1356,396.02
20160107:1456,215.06
20160107:1556,0
20160107:1656,0
20160107:1756,0
20160107:1856,0
20160107:1956,0
20160107:2056,0
20160107:2156,0
20160107:2256,0
20160107:2356,0
20160108:0056,0
20160108:0156,0
20160108:0256,0
20160108:0356,0
20160108:0456,0
20160108:0556,0
20160108:0656,0
20160108:0756,0
20160108:0856,136.41
20160108:0956,365.9
20160108:1056,286.09
20160108:1156,524.67
20160108:1256,405.45
20160108:1356,50.31
20160108:1456,27.39
20160108:1556,0
20160108:1656,0
20160108:1756,0
20160108:1856,0
20160108:1956,0
20160108:2056,0
20160108:2156,0
20160108:2256,0
20160108:2356,0
20160109:0056,0
20160109:0156,0
20160109:0256,0
20160109:0356,0
20160109:0456,0
20160109:0556,0
20160109:0656,0
20160109:0756,0
20160109:0856,8.66
20160109:0956,5.14
20160109:1056,0.75
20160109:1156,83.72
20160109:1256,110.6
20160109:1356,66.83
20160109:1456,55.58
20160109:1556,0
20160109:1656,0
20160109:1756,0
20160109:1856,0
20160109:1956,0
20160109:2056,0
20160109:2156,0
20160109:2256,0
20160109:2356,0
20160110:0056,0
20160110:0156,0
20160110:0256,0
20160110:0356,0
20160110:0456,0
20160110:0556,0
20160110:0656,0
20160110:0756,0
20160110:0856,232.8
20160110:0956,378
20160110:1056,502.62
20160110:1156,93.95
20160110:1256,427.34
20160110:1356,217.97
20160110:1456,92.96
20160110:1556,0
20160110:1656,0
20160110:1756,0
20160110:1856,0
20160110:1956,0
20160110:2056,0
20160110:2156,0
20160110:2256,0
20160110:2356,0
20160111:0056,0
20160111:0156,0
20160111:0256,0
20160111:0356,0
20160111:0456,0
20160111:0556,0
20160111:0656,0
20160111:0756,0
20160111:0856,222.14
20160111:0956,179.35
20160111:1056,48.5
20160111:1156,107.22
20160111:1256,46.88
20160111:1356,0.83
20160111:1456,73.55
20160111:1556,1.42
20160111:1656,0
20160111:1756,0
20160111:1856,0
20160111:1956,0
20160111:2056,0
20160111:2156,0
20160111:2256,0
20160111:2356,0
20160112:0056,0
20160112:0156,0
20160112:0256,0
20160112:0356,0
20160112:0456,0
20160112:0556,0
20160112:0656,0
20160112:0756,0
20160112:0856,155.98
20160112:0956,117.9
20160112:1056,170.55
20160112:1156,62.34
20160112:1256,39.44
20160112:1356,0.46
20160112:1456,232.47
20160112:1556,1.21
20160112:1656,0
20160112:1756,0
20160112:1856,0
20160112:1956,0
20160112:2056,0
20160112:2156,0
20160112:2256,0
20160112:2356,0
20160113:0056,0
20160113:0156,0
20160113:0256,0
20160113:0356,0
20160113:0456,0
20160113:0556,0
20160113:0656,0
20160113:0756,0
20160113:0856,19.77
20160113:0956,83.12
20160113:1056,220.5
20160113:1156,482.29
20160113:1256,447.03
20160113:1356,307.4
20160113:1456,103.07
20160113:1556,1.68
20160113:1656,0
20160113:1756,0
20160113:1856,0
20160113:1956,0
20160113:2056,0
20160113:2156,0
20160113:2256,0
20160113:2356,0
20160114:0056,0
20160114:0156,0
20160114:0256,0
20160114:0356,0
20160114:0456,0
20160114:0556,0
20160114:0656,0
20160114:0756,0
20160114:0856,59.56
20160114:0956,86.54
20160114:1056,64.69
20160114:1156,57.7
20160114:1256,320.91
20160114:1356,57.86
20160114:1456,266.53
20160114:1556,3.29
20160114:1656,0
20160114:1756,0
20160114:1856,0
20160114:1956,0
20160114:2056,0
20160114:2156,0
20160114:2256,0
20160114:2356,0
20160115:0056,0
20160115:0156,0
20160115:0256,0
20160115:0356,0
20160115:0456,0
20160115:0556,0
20160115:0656,0
20160115:0756,0
20160115:0856,182.59
20160115:0956,418.05
20160115:1056,543.38
20160115:1156,587.91
20160115:1256,553.16
20160115:1356,442.04
20160115:1456,263.31
20160115:1556,36.51
20160115:1656,0
20160115:1756,0
20160115:1856,0
20160115:1956,0
20160115:2056,0
20160115:2156,0
20160115:2256,0
20160115:2356,0
20160116:0056,0
20160116:0156,0
20160116:0256,0
20160116:0356,0
20160116:0456,0
20160116:0556,0
20160116:0656,0
20160116:0756,0
20160116:0856,181.38
20160116:0956,411.79
20160116:1056,441.19
20160116:1156,131.52
20160116:1256,445.73
20160116:1356,154.47
20160116:1456,27.7
20160116:1556,37.41
20160116:1656,0
20160116:1756,0
20160116:1856,0
20160116:1956,0
20160116:2056,0
20160116:2156,0
20160116:2256,0
20160116:2356,0
20160117:0056,0
20160117:0156,0
20160117:0256,0
20160117:0356,0
20160117:0456,0
20160117:0556,0
20160117:0656,0
20160117:0756,0
20160117:0856,122.91
20160117:0956,45.11
20160117:1056,60.44
20160117:1156,68.35
20160117:1256,70.26
20160117:1356,146.42
20160117:1456,36.68
20160117:1556,53.05
20160117:1656,0
20160117:1756,0
20160117:1856,0
20160117:1956,0
20160117:2056,0
20160117:2156,0
20160117:2256,0
20160117:2356,0
20160118:0056,0
20160118:0156,0
20160118:0256,0
20160118:0356,0
20160118:0456,0
20160118:0556,0
20160118:0656,0
20160118:0756,0
20160118:0856,91.66
20160118:0956,87.5
20160118:1056,55.91
20160118:1156,19.64
20160118:1256,46.86
20160118:1356,48.88
20160118:1456,67.76
20160118:1556,31.2
20160118:1656,0
20160118:1756,0
20160118:1856,0
20160118:1956,0
20160118:2056,0
20160118:2156,0
20160118:2256,0
20160118:2356,0
20160119:0056,0
20160119:0156,0
20160119:0256,0
20160119:0356,0
20160119:0456,0
20160119:0556,0
20160119:0656,0
20160119:0756,0
20160119:0856,199.91
20160119:0956,415.98
20160119:1056,533.39
20160119:1156,572.07
20160119:1256,539.8
20160119:1356,441.08
20160119:1456,276.53
20160119:1556,54.77
20160119:1656,0
20160119:1756,0
20160119:1856,0
20160119:1956,0
20160119:2056,0
20160119:2156,0
20160119:2256,0
20160119:2356,0
20160120:0056,0
20160120:0156,0
20160120:0256,0
20160120:0356,0
20160120:0456,0
20160120:0556,0
20160120:0656,0
20160120:0756,0
20160120:0856,206.32
20160120:0956,424.43
20160120:1056,537.9
20160120:1156,576.7
20160120:1256,543.15
20160120:1356,448.74
20160120:1456,283.02
20160120:1556,60.18
20160120:1656,0
20160120:1756,0
20160120:1856,0
20160120:1956,0
20160120:2056,0
20160120:2156,0
20160120:2256,0
20160120:2356,0
20160121:0056,0
20160121:0156,0
20160121:0256,0
