Settlement Date,Settlement Period,System Sell Price(£/MWh),System Buy Price(£/MWh),Net Imbalance Volume(MWh)
06/06/2016,1,27.90183,27.90183,-148.4075
06/06/2016,2,27.96013,27.96013,-194.9419
06/06/2016,3,27.97157,27.97157,-132.0298
06/06/2016,4,28,28,-6.7853
06/06/2016,5,27.99,27.99,-1.0507
06/06/2016,6,19.66,19.66,-15.85
06/06/2016,7,21.35811,21.35811,-38.3473
06/06/2016,8,17.75473,17.75473,-119.1034
06/06/2016,9,17.5,17.5,-141.9434
06/06/2016,10,17.5,17.5,-210.7884
06/06/2016,11,17.5,17.5,-198.7096
06/06/2016,12,17.5,17.5,-249.4864
06/06/2016,13,19.36684,19.36684,-190.9451
06/06/2016,14,17.5,17.5,-478.7341
06/06/2016,15,27.65276,27.65276,-316.147
06/06/2016,16,27.76967,27.76967,-338.8535
06/06/2016,17,26.90626,26.90626,-253.7917
06/06/2016,18,27.8,27.8,-502.8266
06/06/2016,19,23.11589,23.11589,-476.8528
06/06/2016,20,22.01,22.01,-493.6482
06/06/2016,21,23.91475,23.91475,-575.1412
06/06/2016,22,23.70793,23.70793,-616.7959
06/06/2016,23,27.28352,27.28352,-550.1341
06/06/2016,24,27.64234,27.64234,-368.2791
06/06/2016,25,27.90156,27.90156,-160.8085
06/06/2016,26,27.9,27.9,-387.4334
06/06/2016,27,27.85,27.85,-336.1854
06/06/2016,28,27.85,27.85,-336.9524
06/06/2016,29,27.85,27.85,-407.4188
06/06/2016,30,27.85,27.85,-369.7467
06/06/2016,31,27.90452,27.90452,-288.6337
06/06/2016,32,41.17716,41.17716,20.7002
06/06/2016,33,98.27463,98.27463,165.3308
06/06/2016,34,105,105,184.0812
06/06/2016,35,28.8,28.8,-36.0821
06/06/2016,36,29,29,-75.5978
06/06/2016,37,28.88441,28.88441,-170.7129
06/06/2016,38,29,29,-172.2438
06/06/2016,39,56.6351,56.6351,133.3968
06/06/2016,40,55,55,162.9773
06/06/2016,41,55,55,87.0499
06/06/2016,42,55,55,26.0788
06/06/2016,43,54.19773,54.19773,11.6335
06/06/2016,44,29.15,29.15,-147.8823
06/06/2016,45,29.10054,29.10054,-197.9779
06/06/2016,46,29.1,29.1,-232.5546
06/06/2016,47,39,39,.0507
06/06/2016,48,33.97,33.97,92.0776
07/06/2016,1,29.12,29.12,-1.6368
07/06/2016,2,28.65,28.65,-44.7915
07/06/2016,3,43,43,96.1641
07/06/2016,4,25.92408,25.92408,-40.4611
07/06/2016,5,43,43,67.8904
07/06/2016,6,47.24795,47.24795,33.3554
07/06/2016,7,49.23347,49.23347,28.1916
07/06/2016,8,27.9,27.9,-56.15
07/06/2016,9,26.57783,26.57783,-82.5001
07/06/2016,10,25.53983,25.53983,-142.1611
07/06/2016,11,22.25,22.25,-200.8304
